"code","uri","label_en","label_fr","scientific_name","species_group_code","is_iotc","is_aggregate"
"BFT",,"Northern bluefin tuna","Thon rouge du Nord","Thunnus thynnus","SBF",0,0
"BIL",,"Marlins and sailfish and spearfish nei","Makaires et marlins et voiliers nca","Istiophoridae","BILL",1,1
"BILL",,"Billfish nei","Poissons epée nca","Xiphioidei","BILL",1,1
"BIP",,"Striped bonito","Bonite oriental","Sarda orientalis","NTAD",0,0
"BIS",,"Bigeye scad","Sélar coulisou","Selar crumenophthalmus","NTAD",0,0
"BLM",,"Black Marlin","Makaire noir","Istiompax indica","BLM",1,0
"BLR",,"Blacktip reef shark","Requin pointes noires","Carcharhinus melanopterus","RSK",0,0
"BLT",,"Bullet tuna","Bonitou","Auxis rochei","BLT",1,0
"BON",,"Atlantic Bonito","Bonite","Sarda sarda","NTAD",0,0
"BRA",,"Brama","Brama","Brama spp","NTAD",0,0
"BRO",,"Copper shark","Requin cuivre","Carcharhinus brachyurus","RSK",0,0
"BRZ",,"Pomfrets, ocean breams nei","Castagnoles nca","Bramidae","NTAD",0,0
"BSH",,"Blue shark","Peau bleue","Prionace glauca","BSH",0,0
"BSX",,"Groupers, seabasses nei","Serranidés nca","Serranidae","NTAD",0,1
"BTH",,"Bigeye thresher","Renard a gros yeux","Alopias Sperciliosus","BTH",0,0
"BTS",,"Hound needlefish","Aiguille crocodile","Tylosurus crocodilus","NTAD",0,0
"BUK",,"Butterfly kingfish","Thon papillon","Gasterochisma melampus","NTAD",0,0
"BUM",,"Blue Marlin","Makaire bleu","Makaira nigricans","BUM",1,0
"BVV",,"Yellowmouth barracuda","Bécune bouche jaune","Sphyraena viridensis","NTAD",0,0
"BXD",,"Alfonsino","Béryx","Beryx decadactylus","NTAD",0,0
"BXQ",,"Marlins nei","Makaires nca","Makaira spp","BILL",0,0
"CAT",,"Catfishes","Loups nca","Anarhichas spp","NTAD",0,1
"CCA",,"Bignose shark","Requin babosse","Carcharhinus altimus","RSK",0,0
"CCB",,"Spinner Shark","Requin tisserand","Carcharhinus brevipinna","RSK",0,0
"CCC",,"Nervous shark","Requin nerveux","Carcharhinus cautus","RSK",0,0
"CCD",,"Whitecheek shark","Requin joues blanches","Carcharhinus dussumieri","RSK",0,0
"CCE",,"Bull shark","Requin bouledogue","Carcharhinus leucas","RSK",0,0
"CCG",,"Galapagos shark","Requin des Galapagos","Carcharhinus galapagensis","RSK",0,0
"CCI",,"Blackspot shark","Requin à tache noir","Carcharhinus sealei","RSK",0,0
"CCL",,"Blacktip shark","Requin bordé","Carcharhinus limbatus","RSK",0,0
"CCM",,"Hardnose shark","Requin à nez rude","Tiburón trompudo","RSK",0,0
"CCO",,"Finetooth shark","Requin à petits dents","Carcharhinus isodon","RSK",0,0
"CCP",,"Sandbar shark","Requin gris","Carcharhinus plumbeus","RSK",0,0
"CCQ",,"Spot-tail shark","Requin queue tachet","Carcharhinus sorrah","RSK",0,0
"CCW",,"Blacktail reef shark","Requin à queue noire","Carcharhinus wheeleri","RSK",0,0
"CCY",,"Graceful shark","Requin gracile","Carcharhinus amblyrhynchoides","RSK",0,0
"CEP",,"Cephalopods nei","Céphalopodes nca","Cephalopoda","NTAD",0,0
"CFW",,"Pompano dolphinfish","Dorade","Coryphaena equiselis","NTAD",0,0
"CGD",,"Burmese river gizzard shad","G","Gonialosa modesta","NTAD",0,0
"CGX",,"Carangidae","Carangids nei","Carangidés nca","NTAD",0,1
"CLD",,"Sliteye shark","Requin sagrin","Loxodon macrorhinus","RSK",0,0
"CNT",,"Ocean triggerfish","C","Canthidermis maculata","NTAD",0,0
"COM",,"Narrow-barred Spanish mackerel","Thazard rayé indo-pacifique","Scomberomorus commerson","COM",1,0
"CPT",,"Australian swellshark","Holbiche gressouillette","Cephaloscyllium laticeps","NTAD",0,0
"CTU",,"Gummy shark","Émissole gommée","Mustelus antarcticus","RSK",0,0
"CUT",,"Hairtails, scabbardfishes nei","Poissons-sabres, sabres nca","Trichiuridae","NTAD",0,1
"CVX",,"Ground sharks","Carcharhiniformes","Carcharhiniformes","RSK",0,0
"CWZ",,"Carcharhinus sharks nei","Requins Carcharhinus nca","Carcharhinus spp","RSK",0,0
"CXS",,"Bigeye trevally","Carangue vorace","Caranx sexfasciatus","NTAD",0,0
"DBM",,"Double-lined mackerel","Thazard-kusara","Grammatorcynus bilineatus","NTAD",0,0
"DDD",,"Indo-Pacific sergeant","S","Abudefduf vaigiensis","NTAD",0,0
"DGZ",,"Dogfishes nei","Aiguillats nca","Squalus spp.","SKH",0,1
"DHO",,"Long-spine purcupinefish","D","Diodon holocanthus","NTAD",0,0
"DIO",,"Globefish, porcupine fish","Porcs-epics","Diodontidae","NTAD",0,0
"DIY",,"Spot-fin porcupinefish","Porc-épic boubou","Diodon hystrix","NTAD",0,0
"DKK",,"Leatherback turtle","Tortue luth","Dermochelys coriacea","NTAD",0,0
"DLP",,"Dolphins nei","Dauphins nca","Delphinidae","NTAD",0,1
"DOB ",,"Wolf- herring","Chirocentre dorab","Chirocentrus dorab","NTAD",0,0
"DOL",,"Common dolphinfish","Coryphène commune","Coryphaena hippurus","NTAD",0,0
"DOP",,"Shortnose spurdog","Aiguillat nez court","Squalus megalops","SKH",0,0
"DOT",,"Dogtooth tuna","Bonite à gros yeux","Gymnosarda unicolor","NTAD",0,0
"DOX",,"Dolphinfishes nei","Coryphènes nca","Coryphaenidae","NTAD",0,0
"DUS",,"Dusky shark","Requin de sable","Carcharhinus obscurus","DUS",0,0
"EAG",,"Eagle Rays","Aigles de mer nca","Myliobatidae","SRX",0,1
"ECN",,"Suckerfishes, remoras nei","Rémoras nca","Echeneidae","NTAD",0,0
"EEN",,"Giant grouper","Mérou lancéolé","Epinephelus lanceolatus","NTAD",0,0
"EHN",,"Live sharksucker","Rémora commun","Echeneis naucrates","NTAD",0,0
"EJA",,"Needle cuttle fish","Seiche aiguille","Sepia aculeata","NTAD",0,0
"ESCL",,"Black escolar","Escolier noir","Lepidocybium flavobrunneum","NTAD",0,0
"FAL",,"Silky shark","Requin soyeux","Carcharhinus falciformis","FAL",0,0
"FLE",,"European Flounder","Flet Européen","Platichthys flesus","NTAD",0,1
"FLY",,"Flyingfishes nei","Exocets nca","Exocoetidae","NTAD",0,0
"FRI",,"Frigate tuna","Auxide","Auxis thazard","FRI",1,0
"FRZ",,"Frigate and bullet tunas","Auxide et bonitou","Auxis spp.","FRZ",1,1
"GAG",,"Tope shark","Requin-hâ","Galeorhinus galeus","SKH",0,0
"GAM",,"Mouse catshark","Chien islandias","Galeus murinus","SKH",0,0
"GBA",,"Great barracuda","Barracuda","Sphyraena barracuda","NTAD",0,0
"GEP",,"Snake mackerels and escolars nei","Escoliers et rouvets nca","Gempylidae","NTAD",0,0
