"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"SLA",,"Spadenose shark","Requin épée","Scoliodon laticaudus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"SLT",,"Slender tuna","Thon élégant","Allothunnus fallai","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"SMA",,"Shortfin mako","Taupe bleue","Isurus oxyrinchus","ELASMOBRANCHS","SHARKS","Lamnidae","Lamniformes",0,1,1,0,1
"SMD",,"Smooth-hound","Émissole lisse","Mustelus mustelus","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"SNK",,"Snoek","Escolier","Thyrsites atun","OTHERS","OTHERS","Gempylidae","Scombroidei",0,0,0,0,1
"SNS",,"Longspine snipefish","Bécasse de mer","Macroramphosus scolopax","OTHERS","OTHERS","Macroramphosidae","Syngnathiformes",0,1,0,0,1
"SNX",,"Snappers, jobfishes nei","Lutianidés nca","Lutjanidae","OTHERS","OTHERS","Lutjanidae","Percoidei",0,1,0,1,1
"SPD",,"Delicate round herring","Hareng rond","Spratelloides delicatulus","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"SPF",,"Longbill spearfish","Makaire bécune","Tetrapturus pfluegeri","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",0,1,0,0,1
"SPK",,"Great hammerhead","Grand requin marteau","Sphyrna mokarran","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,0,1
"SPL",,"Scalloped hammerhead","Requin-marteau halicorne","Sphyrna lewini","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,0,1
"SPN",,"Hammerhead sharks nei","Requins marteau nca","Sphyrna spp","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,1,1
"SPP",,"Spectacled porpoise","Marsouin de Lahille","Phocoena dioptrica","OTHERS","CETACEANS","Phocoenidae","Odontoceti",0,0,1,0,1
"SPW",,"Sperm whale","Cachalot","Physeter macrocephalus","OTHERS","CETACEANS","Physeteridae","Odontoceti",0,0,1,0,1
"SPY",,"Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Sphyrnidae","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,1,1
"SPZ",,"Smooth hammerhead","Requin-marteau commun","Sphyrna zygaena","ELASMOBRANCHS","SHARKS","Sphyrnidae","Carcharhiniformes",0,1,0,0,1
"SQU",,"Various squids nei","Calmars, encornets nca","Loliginidae, Ommastrephidae","OTHERS","OTHERS","Ommastrephidae","Cephalopoda",0,1,0,1,1
"SRH",,"Silver-stripe round herring","Hareng gracile","Spratelloides gracilis","OTHERS","OTHERS","Clupeidae","Clupeiformes",0,1,0,0,1
"SRI",,"Marbled spinefoot","Poisson-lapin","Siganus rivulatus","OTHERS","OTHERS","Siganidae","Acanthuriformes",0,0,0,0,1
"SRW",,"Southern bottlenose whale","Hyperoodon austral","Hyperoodon planifrons","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"SRX",,"Rays, stingrays, mantas nei","Raies, pastenagues, mantes nca","Rajiformes","ELASMOBRANCHS","RAYS",,"Rajiformes",0,1,0,1,1
"SSP",,"Shortbill spearfish","Makaire à rostre court","Tetrapturus angustirostris","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",0,1,0,0,1
