"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"JAX",,"Jack and horse mackerels nei","Chinchards noirs nca","Trachurus spp","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,1,1
"KAK",,"Kanadi kingfish","Thazard kanadi","Scomberomorus plurilineatus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"KAW",,"Kawakawa","Thonine orientale","Euthynnus affinis","TUNAS","NERITIC","Scombridae","Scombroidei",1,1,0,0,1
"KGX",,"Seerfishes nei","Thazards nca","Scomberomorus spp","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,1,1
"KIW",,"Killer whale","Orque","Orcinus orca","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"KOS",,"Korean seerfish","Thazard coréen","Scomberomorus koreanus","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"KPW",,"Pygmy killer whale","Orque pygmée","Feresa attenuata","OTHERS","CETACEANS","Delphinidae","Odontoceti",0,0,1,0,1
"KYC",,"Blue sea chub","Calicagère bleue","Kyphosus cinerascens","OTHERS","OTHERS","Kyphosidae","Percoidei",0,0,0,0,1
"KYP",,"Kyphosus sea chubs nei","Kyphosus calicagères nca","Kyphosus spp","OTHERS","OTHERS","Kyphosidae","Percoidei",0,0,0,1,1
"KYV",,"Brassy chub","Saupe grise à lignes jaunes","Kyphosus vaigiensis","OTHERS","OTHERS","Kyphosidae","Percoidei",0,0,0,0,1
"LAD",,"Ladyfish","Guinée-machète","Elops saurus","OTHERS","OTHERS","Elopidae","Elopiformes",0,0,0,0,1
"LAG",,"Opah","Opah","Lampris guttatus","OTHERS","OTHERS","Lampridae","Lampriformes",0,1,0,0,1
"LAI",,"Southern opah","Poisson des dieux austral","Lampris immaculatus","OTHERS","OTHERS","Lampridae","Lampriformes",0,0,0,0,1
"LEB",,"Leaping bonito","Bonite à dos tacheté","Cybiosarda elegans","OTHERS","OTHERS","Scombridae","Scombroidei",0,0,0,0,1
"LEC",,"Escolar","Escolier noir","Lepidocybium flavobrunneum","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,0,1
"LEK",,"Unicorn crestfish",,"Eumecichthys fiski","OTHERS","OTHERS","Lophotidae","Lampriformes",0,0,0,0,1
"LGE",,"Common ponyfish","Sapsap commun","Leiognathus equulus","OTHERS","OTHERS","Leiognathidae","Percoidei",0,0,0,0,1
"LGH",,"Oceanic puffer","Compère océanique","Lagocephalus lagocephalus","OTHERS","OTHERS","Tetraodontidae","Tetraodontiformes",0,0,0,0,1
"LHT",,"Largehead hairtail","Poisson-sabre commun","Trichiurus lepturus","OTHERS","OTHERS","Trichiuridae","Scombroidei",0,0,0,0,1
"LIB",,"Brushtooth lizardfish","Anoli à grandes écailles","Saurida undosquamis","OTHERS","OTHERS","Synodontidae","Aulopiformes",0,0,0,0,1
"LKV",,"Olive ridley turtle","Tortue olivatre","Lepidochelys olivacea","OTHERS","TURTLES","Cheloniidae","Testudines",0,0,1,0,1
"LLL",,"Crested oarfish","Poisson-ruban licorne","Lophotus lacepede","OTHERS","OTHERS","Lophotidae","Lampriformes",0,1,0,0,1
"LMA",,"Longfin mako","Petite taupe","Isurus paucus","ELASMOBRANCHS","SHARKS","Lamnidae","Lamniformes",0,1,1,0,1
"LMD",,"Salmon shark","Requin-taupe saumon","Lamna ditropis","OTHERS","OTHERS","Lamnidae","Lamniformes",0,1,0,0,1
"LOB",,"Tripletail","Croupia roche","Lobotes surinamensis","OTHERS","OTHERS","Lobotidae","Percoidei",0,1,0,0,1
"LOT",,"Longtail tuna","Thon mignon","Thunnus tonggol","TUNAS","NERITIC","Scombridae","Scombroidei",1,1,0,0,1
"LTA",,"Little tunny(=Atl.black skipj)","Thonine commune","Euthynnus alletteratus","TUNAS","TUNAS_NEI","Scombridae","Scombroidei",0,1,0,0,1
"LXR",,"Orbicular batfish","Poule d'eau","Platax orbicularis","OTHERS","OTHERS","Ephippidae","Acanthuroidei",0,0,0,0,1
"MAA",,"Blue mackerel","Maquereau tacheté","Scomber australasicus","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"MAC",,"Atlantic mackerel","Maquereau commun","Scomber scombrus","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"MAE",,"Spotted eagle ray","Aigle de mer léopard","Aetobatus narinari","ELASMOBRANCHS","RAYS","Aetobatidae","Myliobatiformes",0,1,0,0,1
"MAH",,"Hall's giant petrel","Pétrel de Hall","Macronectes halli","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
"MAI",,"Antarctic giant petrel","Pétrel géant","Macronectes giganteus","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
"MAK",,"Mako sharks","Taupes","Isurus spp","ELASMOBRANCHS","SHARKS","Lamnidae","Lamniformes",0,1,1,1,1
"MAN",,"Mantas, devil rays nei","Mantes, diables de mer nca","Mobulidae","ELASMOBRANCHS","RAYS","Mobulidae","Myliobatiformes",0,1,1,1,1
"MAS",,"Pacific chub mackerel","Maquereau espagnol Pacifique","Scomber japonicus","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,0,1
"MAX",,"Mackerels nei","Maquereaux nca","Scombridae","OTHERS","OTHERS","Scombridae","Scombroidei",0,1,0,1,1
"MIL",,"Milkfish","Chano","Chanos chanos","OTHERS","OTHERS","Chanidae","Gonorynchiformes",0,1,0,0,1
"MIW",,"Minke whale","Petit rorqual","Balaenoptera acutorostrata","OTHERS","CETACEANS","Balaenopteridae","Mysticeti",0,0,1,0,1
"MLS",,"Striped marlin","Marlin rayé","Kajikia audax","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",1,1,1,0,1
"MOO",,"Moonfish","Luneur","Mene maculata","OTHERS","OTHERS","Menidae","Percoidei",0,1,0,0,1
"MOP",,"Sunfish",,"Mola spp","OTHERS","OTHERS","Molidae","Tetraodontiformes",0,0,0,0,1
"MOX",,"Ocean sunfish","Poisson lune","Mola mola","OTHERS","OTHERS","Molidae","Tetraodontiformes",0,1,0,0,1
"MRJ",,"Flapnose ray",,"Rhinoptera javanica","ELASMOBRANCHS","RAYS","Rhinopteridae","Myliobatiformes",0,1,0,0,1
"MRW",,"Sharptail mola","Poisson-lune lancéolé","Masturus lanceolatus","OTHERS","OTHERS","Molidae","Tetraodontiformes",0,1,0,0,1
"MSB",,"River sardine",,"Mesobola brevianalis","OTHERS","OTHERS","Cyprinidae","Cypriniformes",0,1,0,0,1
"MSD",,"Mackerel scad","Comète maquereau","Decapterus macarellus","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"MSK",,"Mackerel sharks,porbeagles nei","Requins taupe nca","Lamnidae","ELASMOBRANCHS","SHARKS","Lamnidae","Lamniformes",0,1,0,1,1
"MTM",,"Arabian smooth-hound","Émissole d'Arabie","Mustelus mosis","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"MWE",,"Cape gannet","Fou du Cap","Morus capensis","OTHERS","SEABIRDS","Sulidae","Pelecaniformes",0,0,1,0,1
"MZZ",,"Marine fishes nei","Poissons marins nca","Actinopterygii","OTHERS","OTHERS",,"Pisces miscellanea",0,0,0,1,1
"NAU",,"Pilotfish","Poisson pilote","Naucrates ductor","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"NEN",,"Black gemfish","Escolier long nez","Nesiarchus nasutus","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,0,1
"NGB",,"Lemon shark","Requin citron","Negaprion brevirostris","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"NGT",,"Island trevally","Carangue des îles","Carangoides orthogrammus","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"NHR",,"Largescale triggerfish",,"Canthidermis macrolepis","OTHERS","OTHERS","Balistidae","Tetraodontiformes",0,,0,0,1
"NTC",,"Broadnose sevengill shark","Platnez","Notorynchus cepedianus","ELASMOBRANCHS","SHARKS","Hexanchidae","Hexanchiformes",0,1,0,0,1
"NXI",,"Giant trevally","Carangue têtue","Caranx ignobilis","OTHERS","OTHERS","Carangidae","Carangiformes (carangoidei)",0,0,0,0,1
"OCS",,"Oceanic whitetip shark","Requin océanique","Carcharhinus longimanus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,1,0,1
"OCX",,"Carpet sharks",,"Orectolobiformes","OTHERS","OTHERS",,"Orectolobiformes",0,0,0,1,1
"ODH",,"Bigeye sand tiger shark","Requin noronhai","Odontaspis noronhai","ELASMOBRANCHS","SHARKS","Odontaspididae","Lamniformes",0,1,0,0,1
"ODN",,"Toothed whales nei","Baleines odontocètes nca","Odontoceti","OTHERS","CETACEANS",,"Odontoceti",0,0,1,1,1
"OHH",,"White-spotted puffer","Compère à taches blanches","Arothron hispidus","OTHERS","OTHERS","Tetraodontidae","Tetraodontiformes",0,0,0,0,1
"OIL",,"Oilfish","Rouvet","Ruvettus pretiosus","OTHERS","OTHERS","Gempylidae","Scombroidei",0,1,0,0,1
"OMZ",,"Ommastrephidae squids nei","Encornets Ommastrephidae nca","Ommastrephidae","OTHERS","OTHERS","Ommastrephidae","Cephalopoda",0,1,0,0,1
"OQX",,"Bamboosharks nei",,"Chiloscyllium spp","ELASMOBRANCHS","SHARKS","Hemiscylliidae","Orectolobiformes",0,1,0,1,1
"ORB",,"Brownbanded bambooshark","Requin-chabot bambou","Chiloscyllium punctatum","ELASMOBRANCHS","SHARKS","Hemiscylliidae","Orectolobiformes",0,0,0,0,1
"ORI",,"Slender bambooshark","Requin-chabot élégant","Chiloscyllium indicum","ELASMOBRANCHS","SHARKS","Hemiscylliidae","Orectolobiformes",0,1,0,0,1
"ORR",,"Grey bambooshark","Requin-chabot gris","Chiloscyllium griseum","ELASMOBRANCHS","SHARKS","Hemiscylliidae","Orectolobiformes",0,1,0,0,1
"ORZ",,"Tawny nurse shark","Requin nourrice fauve","Nebrius ferrugineus","ELASMOBRANCHS","SHARKS","Ginglymostomatidae","Orectolobiformes",0,1,0,0,1
"OSF",,"Zebra shark","Requin zèbre","Stegostoma tigrinum","ELASMOBRANCHS","SHARKS","Stegostomatidae","Orectolobiformes",0,1,0,0,1
"OXY",,"Angular roughshark","Centrine commune","Oxynotus centrina","ELASMOBRANCHS","SHARKS","Oxynotidae","Squaliformes",0,1,0,0,1
"PCI",,"Grey petrel","Puffin gris","Procellaria cinerea","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
"PCW",,"Westland petrel","Puffin du Westland","Procellaria westlandica","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
"PDM",,"Great-winged petrel","Pétrel noir","Pterodroma macroptera","OTHERS","SEABIRDS","Procellariidae","Procellariiformes",0,0,1,0,1
