"code","uri","label_en","label_fr","definition_en","definition_fr"
"HRV",,"Croatia","Croatie (la)","the Republic of Croatia","la République de Croatie"
"HTI",,"Haiti","Haïti","the Republic of Haiti","la République d'Haïti"
"HUN",,"Hungary","Hongrie (la)","Hungary","la Hongrie"
"IDN",,"Indonesia","Indonésie (l')","the Republic of Indonesia","la République d'Indonésie"
"IMN",,"Isle of Man (the)","Île de Man (l')","the Isle of Man","l'Île de Man"
"IND",,"India","Inde (l')","the Republic of India","la République de l'Inde"
"IOT",,"British Indian Ocean Territory (the)","Territoire britannique de l'océan Indien (le)","the British Indian Ocean Territory","le Territoire britannique de l'océan Indien"
"IOTC",,"IOTC","CTOI","Group of IOTC countries  (NEI)","Groupe de pays CTOI (NCA)"
"IPTP",,"IPTP","IPTP","Group of IPTP countries (NEI)","Groupe de pays CTOI (NCA)"
"IRL",,"Ireland","Irlande (l')","Ireland","l'Irlande"
"IRN",,"Islamic Republic of Iran (the)","République islamique d'Iran (la)","the Islamic Republic of Iran","la République islamique d'Iran"
"IRQ",,"Iraq","Iraq (l')","the Republic of Iraq","la République d'Iraq"
"ISL",,"Iceland","Islande (l')","Iceland","l'Islande"
"ISR",,"Israel","Israël","the State of Israel","l'État d'Israël"
"ITA",,"Italy","Italie (l')","the Republic of Italy","la République italienne"
"JAM",,"Jamaica","Jamaïque (la)","Jamaica","la Jamaïque"
"JEY",,"Jersey","Jersey","Jersey","Jersey"
"JOR",,"Jordan","Jordanie (la)","the Hashemite Kingdom of Jordan","le Royaume hachémite de Jordanie"
"JPN",,"Japan","Japon (le)","Japan","le Japon"
"KAZ",,"Kazakhstan","Kazakhstan (le)","the Republic of Kazakhstan","la République du Kazakhstan"
"KEN",,"Kenya","Kenya (le)","the Republic of Kenya","la République du Kenya"
"KGZ",,"Kyrgyzstan","Kirghizistan (le)","the Kyrgyz Republic","la République kirghize"
"KHM",,"Cambodia","Cambodge (le)","the Kingdom of Cambodia","le Royaume du Cambodge"
"KIR",,"Kiribati","Kiribati","the Republic of Kiribati","la République de Kiribati"
"KNA",,"Saint Kitts and Nevis","Saint-Kitts-et-Nevis","Saint Kitts and Nevis","Saint-Kitts-et-Nevis"
"KOR",,"Republic of Korea (the)","République de Corée (la)","the Republic of Korea","la République de Corée"
"KWT",,"Kuwait","Koweït (le)","the State of Kuwait","l'État du Koweït"
"LAO",,"Lao People's Democratic Republic (the)","République démocratique populaire lao (la)","the Lao People's Democratic Republic","la République démocratique populaire lao"
"LBN",,"Lebanon","Liban (le)","the Lebanese Republic","la République libanaise"
"LBR",,"Liberia","Libéria (le)","the Republic of Liberia","la République du Libéria"
"LBY",,"Libya","Libye (la)","the State of Libya","l'État de Libye"
"LCA",,"Saint Lucia","Sainte-Lucie","Saint Lucia","Sainte-Lucie"
"LIE",,"Liechtenstein","Liechtenstein (le)","the Principality of Liechtenstein","la Principauté du Liechtenstein"
"LKA",,"Sri Lanka","Sri Lanka","the Democratic Socialist Republic of Sri Lanka","la République socialiste démocratique de Sri Lanka"
"LSO",,"Lesotho","Lesotho (le)","the Kingdom of Lesotho","le Royaume du Lesotho"
"LTU",,"Lithuania","Lituanie (la)","the Republic of Lithuania","la République de Lituanie"
"LUX",,"Luxembourg","Luxembourg (le)","the Grand Duchy of Luxembourg","le Grand-Duché de Luxembourg"
"LVA",,"Latvia","Lettonie (la)","the Republic of Latvia","la République de Lettonie"
"MAC",,"China, Macao SAR","Chine - RAS de Macao","China, Macao Special Administrative Region","Chine - Région administrative spéciale de Macao"
"MAF",,"Saint Martin (French part)","Saint-Martin (partie française)","Saint Martin (French part)","Saint-Martin (partie française)"
"MAR",,"Morocco","Maroc (le)","the Kingdom of Morocco","le Royaume du Maroc"
"MCO",,"Monaco","Monaco","the Principality of Monaco","la Principauté de Monaco"
"MDA",,"Republic of Moldova (the)","République de Moldova (la)","the Republic of Moldova","la République de Moldova"
"MDG",,"Madagascar","Madagascar","the Republic of Madagascar","la République de Madagascar"
"MDV",,"Maldives","Maldives (les)","the Republic of Maldives","la République des Maldives"
"MEX",,"Mexico","Mexique (le)","the United Mexican States","les États-Unis du Mexique"
"MHL",,"Marshall Islands (the)","Îles Marshall (les)","the Republic of the Marshall Islands","la République des Îles Marshall"
"MKD",,"North Macedonia","Macédoine du Nord (la)","the Republic of North Macedonia","la République de Macédoine du Nord"
"MLI",,"Mali","Mali (le)","the Republic of Mali","la République du Mali"
"MLT",,"Malta","Malte","the Republic of Malta","la République de Malte"
"MMR",,"Myanmar","Myanmar (le)","the Republic of the Union of Myanmar","la République de l'Union du Myanmar"
"MNE",,"Montenegro","Monténégro (le)","Montenegro","le Monténégro"
"MNG",,"Mongolia","Mongolie (la)","Mongolia","la Mongolie"
"MNP",,"Northern Mariana Islands (the)","Îles Mariannes du Nord (les)","the Commonwealth of the Northern Mariana Islands","le Commonwealth des Îles Mariannes du Nord"
"MOZ",,"Mozambique","Mozambique (le)","the Republic of Mozambique","la République du Mozambique"
"MRT",,"Mauritania","Mauritanie (la)","the Islamic Republic of Mauritania","la République islamique de Mauritanie"
"MSR",,"Montserrat","Montserrat","Montserrat","Montserrat"
"MTQ",,"Martinique","Martinique (la)","Martinique","la Martinique"
"MUS",,"Mauritius","Maurice","the Republic of Mauritius","la République de Maurice"
"MWI",,"Malawi","Malawi (le)","the Republic of Malawi","la République du Malawi"
"MYS",,"Malaysia","Malaisie (la)","Malaysia","la Malaisie"
